,index,num_to_shelf,sim_thresh,merge_sim_thresh,batch_size,eons,i,size,std,num,is_shuffle,classifications,class_centers,error,error_mean,error_std
96,96,4,0.93,0.87,32,64,0,10000,1.0,4,True,,,0.012395544222624,0.025056120360527002,0.05940480420315301
97,97,4,0.93,0.87,32,64,0,10000,1.0,4,False,,,0.11668217420037401,0.055189873103594,0.065383257949541
98,98,6,0.93,0.87,32,64,0,10000,1.0,6,True,,,0.026190970994296,0.064815058594218,0.061254219879825
99,99,6,0.93,0.87,32,64,0,10000,1.0,6,False,,,0.27334465723717905,0.261758864649806,0.142451686379495
100,100,10,0.93,0.87,32,64,0,10000,1.0,10,True,,,0.046793869788372,0.12393395462996201,0.072089937261112
101,101,10,0.93,0.87,32,64,0,10000,1.0,10,False,,,0.5942913617698551,0.409219598267172,0.13638147637759102
102,102,20,0.93,0.87,32,64,0,10000,1.0,20,True,,,0.332048684772138,0.37877192689906003,0.105564128238816
103,103,20,0.93,0.87,32,64,0,10000,1.0,20,False,,,0.8179870290508771,0.672418272554268,0.129060447592311
104,104,50,0.93,0.87,32,64,0,10000,1.0,50,True,,,1.100774749849999,1.213284201839605,0.09288974262150301
105,105,50,0.93,0.87,32,64,0,10000,1.0,50,False,,,1.5349006329222221,1.4993902810023991,0.11533977004686101
106,106,100,0.93,0.87,32,64,0,10000,1.0,100,True,,,2.6454654924899863,2.728729715553302,0.11906731415081301
107,107,100,0.93,0.87,32,64,0,10000,1.0,100,False,,,2.977434479724285,2.783212388901361,0.122462098372002
108,108,4,0.93,0.87,32,64,0,10000,1.2,4,True,,,0.023566375801272,0.034977559029222005,0.06285881214953601
109,109,4,0.93,0.87,32,64,0,10000,1.2,4,False,,,0.315121054334358,0.10357009706638201,0.127981971052316
110,110,6,0.93,0.87,32,64,0,10000,1.2,6,True,,,0.21590355881393103,0.075983912574568,0.06618854125046901
111,111,6,0.93,0.87,32,64,0,10000,1.2,6,False,,,0.29350120090679604,0.26600022684324803,0.13625106328838102
112,112,10,0.93,0.87,32,64,0,10000,1.2,10,True,,,0.15175601872963002,0.15871757515530202,0.07164401282676801
113,113,10,0.93,0.87,32,64,0,10000,1.2,10,False,,,0.6755874282785841,0.42203280834295004,0.14426403572632301
114,114,20,0.93,0.87,32,64,0,10000,1.2,20,True,,,0.6354879181549771,0.465427820874707,0.08811688360768
115,115,20,0.93,0.87,32,64,0,10000,1.2,20,False,,,0.8213394401105031,0.7521766986894011,0.11972987807796101
116,116,50,0.93,0.87,32,64,0,10000,1.2,50,True,,,1.418945597479434,1.433003979593826,0.09358108057450801
117,117,50,0.93,0.87,32,64,0,10000,1.2,50,False,,,1.709319309746508,1.6439799483378512,0.12327325176475601
118,118,100,0.93,0.87,32,64,0,10000,1.2,100,True,,,2.9902452846485232,2.92849917995017,0.12204761508768401
119,119,100,0.93,0.87,32,64,0,10000,1.2,100,False,,,2.937223257524783,2.890190482832819,0.130762487685746
120,120,4,0.93,0.87,32,64,0,10000,1.5,4,True,,,0.06887217601212,0.052960919698664004,0.07654623624144401
121,121,4,0.93,0.87,32,64,0,10000,1.5,4,False,,,0.35070382438698405,0.143423603413585,0.126629080281273
122,122,6,0.93,0.87,32,64,0,10000,1.5,6,True,,,0.185855893978218,0.09717382898005801,0.078470662669319
123,123,6,0.93,0.87,32,64,0,10000,1.5,6,False,,,0.314352553597444,0.28080773851962504,0.13349590076543702
124,124,10,0.93,0.87,32,64,0,10000,1.5,10,True,,,0.22672584200737,0.22576707679843702,0.09467938396910501
125,125,10,0.93,0.87,32,64,0,10000,1.5,10,False,,,0.565843565560684,0.44697356232872104,0.119106671673136
126,126,20,0.93,0.87,32,64,0,10000,1.5,20,True,,,0.581830425053472,0.610778164030092,0.08689969054477101
127,127,20,0.93,0.87,32,64,0,10000,1.5,20,False,,,0.892371842710147,0.813822138546572,0.109067811196177
128,128,50,0.93,0.87,32,64,0,10000,1.5,50,True,,,1.688126546837255,1.631630770553212,0.098280661360576
129,129,50,0.93,0.87,32,64,0,10000,1.5,50,False,,,1.856498271447218,1.761684551676233,0.11877652172647
130,130,100,0.93,0.87,32,64,0,10000,1.5,100,True,,,3.055052439292158,3.048405513011362,0.131482768202193
131,131,100,0.93,0.87,32,64,0,10000,1.5,100,False,,,2.956145767672159,2.94642006253793,0.12491108925468201
132,132,4,0.93,0.87,32,64,0,10000,2.0,4,True,,,0.174294668124049,0.09579783127542,0.101378764421597
133,133,4,0.93,0.87,32,64,0,10000,2.0,4,False,,,0.164209212519907,0.19142218235464903,0.137197750459174
