,num_to_shelf,sim_thresh,merge_sim_thresh,batch_size,eons,i,size,std,num,is_shuffle,classifications,class_centers,error
96,4,0.93,0.87,32,64,0,10000,1.0,4,True,,,0.012395544222624
97,4,0.93,0.87,32,64,0,10000,1.0,4,False,,,0.11668217420037401
98,6,0.93,0.87,32,64,0,10000,1.0,6,True,,,0.026190970994296
99,6,0.93,0.87,32,64,0,10000,1.0,6,False,,,0.27334465723717905
100,10,0.93,0.87,32,64,0,10000,1.0,10,True,,,0.046793869788372
101,10,0.93,0.87,32,64,0,10000,1.0,10,False,,,0.5942913617698551
102,20,0.93,0.87,32,64,0,10000,1.0,20,True,,,0.332048684772138
103,20,0.93,0.87,32,64,0,10000,1.0,20,False,,,0.8179870290508771
104,50,0.93,0.87,32,64,0,10000,1.0,50,True,,,1.100774749849999
105,50,0.93,0.87,32,64,0,10000,1.0,50,False,,,1.5349006329222221
106,100,0.93,0.87,32,64,0,10000,1.0,100,True,,,2.6454654924899863
107,100,0.93,0.87,32,64,0,10000,1.0,100,False,,,2.977434479724285
108,4,0.93,0.87,32,64,0,10000,1.2,4,True,,,0.023566375801272
109,4,0.93,0.87,32,64,0,10000,1.2,4,False,,,0.315121054334358
110,6,0.93,0.87,32,64,0,10000,1.2,6,True,,,0.21590355881393103
111,6,0.93,0.87,32,64,0,10000,1.2,6,False,,,0.29350120090679604
112,10,0.93,0.87,32,64,0,10000,1.2,10,True,,,0.15175601872963002
113,10,0.93,0.87,32,64,0,10000,1.2,10,False,,,0.6755874282785841
114,20,0.93,0.87,32,64,0,10000,1.2,20,True,,,0.6354879181549771
115,20,0.93,0.87,32,64,0,10000,1.2,20,False,,,0.8213394401105031
116,50,0.93,0.87,32,64,0,10000,1.2,50,True,,,1.418945597479434
117,50,0.93,0.87,32,64,0,10000,1.2,50,False,,,1.709319309746508
118,100,0.93,0.87,32,64,0,10000,1.2,100,True,,,2.9902452846485232
119,100,0.93,0.87,32,64,0,10000,1.2,100,False,,,2.937223257524783
120,4,0.93,0.87,32,64,0,10000,1.5,4,True,,,0.06887217601212
121,4,0.93,0.87,32,64,0,10000,1.5,4,False,,,0.35070382438698405
122,6,0.93,0.87,32,64,0,10000,1.5,6,True,,,0.185855893978218
123,6,0.93,0.87,32,64,0,10000,1.5,6,False,,,0.314352553597444
124,10,0.93,0.87,32,64,0,10000,1.5,10,True,,,0.22672584200737
125,10,0.93,0.87,32,64,0,10000,1.5,10,False,,,0.565843565560684
126,20,0.93,0.87,32,64,0,10000,1.5,20,True,,,0.581830425053472
127,20,0.93,0.87,32,64,0,10000,1.5,20,False,,,0.892371842710147
128,50,0.93,0.87,32,64,0,10000,1.5,50,True,,,1.688126546837255
129,50,0.93,0.87,32,64,0,10000,1.5,50,False,,,1.856498271447218
130,100,0.93,0.87,32,64,0,10000,1.5,100,True,,,3.055052439292158
131,100,0.93,0.87,32,64,0,10000,1.5,100,False,,,2.956145767672159
132,4,0.93,0.87,32,64,0,10000,2.0,4,True,,,0.174294668124049
133,4,0.93,0.87,32,64,0,10000,2.0,4,False,,,0.164209212519907
134,6,0.93,0.87,32,64,0,10000,2.0,6,True,,,0.288662630803771
135,6,0.93,0.87,32,64,0,10000,2.0,6,False,,,0.28868185285339704
136,10,0.93,0.87,32,64,0,10000,2.0,10,True,,,0.46563067129768904
137,10,0.93,0.87,32,64,0,10000,2.0,10,False,,,0.562962816014215
138,20,0.93,0.87,32,64,0,10000,2.0,20,True,,,0.89771406892835
139,20,0.93,0.87,32,64,0,10000,2.0,20,False,,,0.8896730907390351
140,50,0.93,0.87,32,64,0,10000,2.0,50,True,,,1.817302332112292
